title,post_number,date,writer_id,writer_nickname,post_content,commenter_ids,commenter_nicknames,comments,comment_dates
0원 요금제 없죠?,5451478,2025.04.10. 11:51,plIaHrgYuf8boaaFiF2dWQ,인생 끝장,"가입할려니 마감이네요매번 늦어요.혹 아시는분 계실까요?
가입할려니 마감이네요매번 늦어요.혹 아시는분 계실까요?
가입할려니 마감이네요매번 늦어요.혹 아시는분 계실까요?
가입할려니 마감이네요매번 늦어요.혹 아시는분 계실까요?
가입할려니 마감이네요
가입할려니 마감이네요


매번 늦어요.
매번 늦어요.
혹 아시는분 계실까요?
혹 아시는분 계실까요?",[],[],[],[]
네이버페이 머니 체크카드 사용하시는분 질문있어요!,5451336,2025.04.10. 10:33,VMDe-EOO-01MEN-K1ZVB0Q,콜라맛체리,"네이버쇼핑 1.5% / 오프라인 0.3%로 알고 있는데 좀 이해가 안가는게...네이버쇼핑 알다 싶이 머니충전시 2.5% 적립해주잖아요. 그러면 카드 사용이 훨씬 손해 아닌가요? 카드는 1.5%밖에 안되니깐요.네이버쇼핑이 어차피 온라인에서 이루어지니 바보가 아닌 이상 카드 사용해서 1.5% 적립받을바에 네이버페이 머니 충전해서 2.5% 적립 받는게 낫지 않나요?제가 이해한게 맞나요?
네이버쇼핑 1.5% / 오프라인 0.3%로 알고 있는데 좀 이해가 안가는게...네이버쇼핑 알다 싶이 머니충전시 2.5% 적립해주잖아요. 그러면 카드 사용이 훨씬 손해 아닌가요? 카드는 1.5%밖에 안되니깐요.네이버쇼핑이 어차피 온라인에서 이루어지니 바보가 아닌 이상 카드 사용해서 1.5% 적립받을바에 네이버페이 머니 충전해서 2.5% 적립 받는게 낫지 않나요?제가 이해한게 맞나요?
네이버쇼핑 1.5% / 오프라인 0.3%로 알고 있는데 좀 이해가 안가는게...네이버쇼핑 알다 싶이 머니충전시 2.5% 적립해주잖아요. 그러면 카드 사용이 훨씬 손해 아닌가요? 카드는 1.5%밖에 안되니깐요.네이버쇼핑이 어차피 온라인에서 이루어지니 바보가 아닌 이상 카드 사용해서 1.5% 적립받을바에 네이버페이 머니 충전해서 2.5% 적립 받는게 낫지 않나요?제가 이해한게 맞나요?
네이버쇼핑 1.5% / 오프라인 0.3%로 알고 있는데 좀 이해가 안가는게...네이버쇼핑 알다 싶이 머니충전시 2.5% 적립해주잖아요. 그러면 카드 사용이 훨씬 손해 아닌가요? 카드는 1.5%밖에 안되니깐요.네이버쇼핑이 어차피 온라인에서 이루어지니 바보가 아닌 이상 카드 사용해서 1.5% 적립받을바에 네이버페이 머니 충전해서 2.5% 적립 받는게 낫지 않나요?제가 이해한게 맞나요?
네이버쇼핑 1.5% / 오프라인 0.3%로 알고 있는데 좀 이해가 안가는게...
네이버쇼핑 1.5% / 오프라인 0.3%로 알고 있는데 좀 이해가 안가는게...
네이버쇼핑 알다 싶이 머니충전시 2.5% 적립해주잖아요. 그러면 카드 사용이 훨씬 손해 아닌가요? 카드는 1.5%밖에 안되니깐요.
네이버쇼핑 알다 싶이 머니충전시 2.5% 적립해주잖아요. 그러면 카드 사용이 훨씬 손해 아닌가요? 카드는 1.5%밖에 안되니깐요.
네이버쇼핑이 어차피 온라인에서 이루어지니 바보가 아닌 이상 카드 사용해서 1.5% 적립받을바에 네이버페이 머니 충전해서 2.5% 적립 받는게 낫지 않나요?
네이버쇼핑이 어차피 온라인에서 이루어지니 바보가 아닌 이상 카드 사용해서 1.5% 적립받을바에 네이버페이 머니 충전해서 2.5% 적립 받는게 낫지 않나요?
제가 이해한게 맞나요?
제가 이해한게 맞나요?",[],[],[],[]
"카뱅, 케이뱅크 예금 만기시 입출금계좌 한도제한 자동으로 풀리나요?",5450893,2025.04.10. 00:41,89rH6NvPsT1FR6cUBks8ag,쿨다람쥐,"자동으로 풀리나요? 서류제출해야 풀리나요?
자동으로 풀리나요? 서류제출해야 풀리나요?
자동으로 풀리나요? 서류제출해야 풀리나요?
자동으로 풀리나요? 서류제출해야 풀리나요?
자동으로 풀리나요? 서류제출해야 풀리나요?
자동으로 풀리나요? 서류제출해야 풀리나요?","['X6g4uRY8c5AvFgflhsLUUw', 'dBHNrCZKVuTb_uCjjh6-pg']","['미니멀두찌', '쿨다람쥐']","['카뱅은 어째 풀렸는지 오래 되서 기억 안나는데 케이뱅크는 관리비 용지하나 찍어보내니 바로 해제 해줬어요', '아닐거에요.미리풀어줘야 하십니다.^^.. 카뱅은 조건이 여러개가 있더라구요. 앱에서 타고 들어가 보셔요..여러가지가 나와요. 케이뱅크는 의외로 더쉬웠던거 같아요. 관리비영수증 하나로 했던거같아용']","['2025.04.10. 02:12', '2025.04.10. 08:49']"
신용카드 대출에 영향을 주나요?,5450820,2025.04.09. 23:41,hZzbkITuoOpl7K6XKiXYFg,큐오오,"아파트 입주로 대출 신용도 높일려는 목적과신용카드로 가전제품을 할부로 구입하려고 하는데아파트 대출 앞두고 신용카드 만들면 대출에 안 좋은 영향을 끼치나요?소량만 사용하면서 등급 올리려고요..아니라면 최소 신용카드로 신용등급 오를 수 있는 기간은 몇달전까지 만들어야 하나요?대출 이전 또는 후에 가전제품 할부 결제는 언제 하면 좋읗까요?대출 후에 직장을 옮길거라 대출 전에 신용카드 등 발급할 수 있는건 다하려고 하는데 옳은 방법일지 궁금합니다잘 아시는분 답변 주시면 감사하겠습니다
아파트 입주로 대출 신용도 높일려는 목적과신용카드로 가전제품을 할부로 구입하려고 하는데아파트 대출 앞두고 신용카드 만들면 대출에 안 좋은 영향을 끼치나요?소량만 사용하면서 등급 올리려고요..아니라면 최소 신용카드로 신용등급 오를 수 있는 기간은 몇달전까지 만들어야 하나요?대출 이전 또는 후에 가전제품 할부 결제는 언제 하면 좋읗까요?대출 후에 직장을 옮길거라 대출 전에 신용카드 등 발급할 수 있는건 다하려고 하는데 옳은 방법일지 궁금합니다잘 아시는분 답변 주시면 감사하겠습니다
아파트 입주로 대출 신용도 높일려는 목적과신용카드로 가전제품을 할부로 구입하려고 하는데아파트 대출 앞두고 신용카드 만들면 대출에 안 좋은 영향을 끼치나요?소량만 사용하면서 등급 올리려고요..아니라면 최소 신용카드로 신용등급 오를 수 있는 기간은 몇달전까지 만들어야 하나요?대출 이전 또는 후에 가전제품 할부 결제는 언제 하면 좋읗까요?대출 후에 직장을 옮길거라 대출 전에 신용카드 등 발급할 수 있는건 다하려고 하는데 옳은 방법일지 궁금합니다잘 아시는분 답변 주시면 감사하겠습니다
아파트 입주로 대출 신용도 높일려는 목적과신용카드로 가전제품을 할부로 구입하려고 하는데아파트 대출 앞두고 신용카드 만들면 대출에 안 좋은 영향을 끼치나요?소량만 사용하면서 등급 올리려고요..아니라면 최소 신용카드로 신용등급 오를 수 있는 기간은 몇달전까지 만들어야 하나요?대출 이전 또는 후에 가전제품 할부 결제는 언제 하면 좋읗까요?대출 후에 직장을 옮길거라 대출 전에 신용카드 등 발급할 수 있는건 다하려고 하는데 옳은 방법일지 궁금합니다잘 아시는분 답변 주시면 감사하겠습니다
아파트 입주로 대출 신용도 높일려는 목적과
아파트 입주로 대출 신용도 높일려는 목적과
신용카드로 가전제품을 할부로 구입하려고 하는데
신용카드로 가전제품을 할부로 구입하려고 하는데
아파트 대출 앞두고 신용카드 만들면 대출에 안 좋은 영향을 끼치나요?소량만 사용하면서 등급 올리려고요..
아파트 대출 앞두고 신용카드 만들면 대출에 안 좋은 영향을 끼치나요?소량만 사용하면서 등급 올리려고요..
아니라면 최소 신용카드로 신용등급 오를 수 있는 기간은 몇달전까지 만들어야 하나요?
아니라면 최소 신용카드로 신용등급 오를 수 있는 기간은 몇달전까지 만들어야 하나요?
대출 이전 또는 후에 가전제품 할부 결제는 언제 하면 좋읗까요?
대출 이전 또는 후에 가전제품 할부 결제는 언제 하면 좋읗까요?
대출 후에 직장을 옮길거라 대출 전에 신용카드 등 발급할 수 있는건 다하려고 하는데 옳은 방법일지 궁금합니다
대출 후에 직장을 옮길거라 대출 전에 신용카드 등 발급할 수 있는건 다하려고 하는데 옳은 방법일지 궁금합니다
잘 아시는분 답변 주시면 감사하겠습니다
잘 아시는분 답변 주시면 감사하겠습니다",[],[],[],[]
다들 앱테크 하시나요?,5450779,2025.04.09. 23:16,Uwkdu-M3Bxg2gBvn_YfSOA,파카파카알파카,"저는 주로 걷는 앱테크 하는데 다른분들은 뭘하시나 궁금합니다
저는 주로 걷는 앱테크 하는데 다른분들은 뭘하시나 궁금합니다
저는 주로 걷는 앱테크 하는데 다른분들은 뭘하시나 궁금합니다
저는 주로 걷는 앱테크 하는데 다른분들은 뭘하시나 궁금합니다
저는 주로 걷는 앱테크 하는데 다른분들은 뭘하시나 궁금합니다
저는 주로 걷는 앱테크 하는데 다른분들은 뭘하시나 궁금합니다","['5HtJ-RyD5lTl-9KkcXbHvw', 'Ak1pZNcEVptGyJcd2sSzKQ', 'QW0tEg1MGFYULI2r1SqUtg']","['베리보리네집', '늘힝', '파카파카알파카']","['저도 걷는거랑 토스 틱톡라이트 이런거해요~~소소하게ㅋㅋ', '친구가 돈이 든 돼지저금통을 보냈어요! 얼마가 들었을지 지금 열어보세요.  초대코드: 38D1EC  돼지저금통 열어보기 👉https://abr.ge/@moneypig/referral?friend_code=38D1EC&og_tag_id=137443343&routing_short_id=kq1w1t&tracking_template_id=38cfd4d44acfcbf4848fbac5d7c55eeb&ad_type=click', '체리포인트요 ㅎ 이틀에 만원은 버는거같어요 ~']","['2025.04.09. 23:58', '2025.04.11. 22:09', '2025.04.12. 01:36']"
"5년넘은 자동차 갖고 계신분, 혹시 환급금 신청하셨나요?(226)",5450751,2025.04.09. 22:58,KCpgGxDOEDKDLaRA8-qokQ,너의마음을,"지금 가지고 있는겁자동차가 5년이 넘으신분 많죠?2그런분은 이 환급금 꼭 확인해보세요많은 분들이 환급금겁돌려받고 있다는데요.2아직도 몰라서 돌려받지 못하고 있는 환급금이 엄청 많다고 합니다.아래글 보시고 본인에게도겁환급금이 있는지2일단 조회해보시고 환급신청까지 꼭 해보세요. 저는 신청했네요~
지금 가지고 있는겁자동차가 5년이 넘으신분 많죠?2그런분은 이 환급금 꼭 확인해보세요많은 분들이 환급금겁돌려받고 있다는데요.2아직도 몰라서 돌려받지 못하고 있는 환급금이 엄청 많다고 합니다.아래글 보시고 본인에게도겁환급금이 있는지2일단 조회해보시고 환급신청까지 꼭 해보세요. 저는 신청했네요~
지금 가지고 있는겁자동차가 5년이 넘으신분 많죠?2그런분은 이 환급금 꼭 확인해보세요많은 분들이 환급금겁돌려받고 있다는데요.2아직도 몰라서 돌려받지 못하고 있는 환급금이 엄청 많다고 합니다.아래글 보시고 본인에게도겁환급금이 있는지2일단 조회해보시고 환급신청까지 꼭 해보세요. 저는 신청했네요~
지금 가지고 있는겁자동차가 5년이 넘으신분 많죠?2그런분은 이 환급금 꼭 확인해보세요많은 분들이 환급금겁돌려받고 있다는데요.2아직도 몰라서 돌려받지 못하고 있는 환급금이 엄청 많다고 합니다.아래글 보시고 본인에게도겁환급금이 있는지2일단 조회해보시고 환급신청까지 꼭 해보세요. 저는 신청했네요~
지금 가지고 있는겁자동차가 5년이 넘으신분 많죠?2그런분은 이 환급금 꼭 확인해보세요
지금 가지고 있는
겁
자동차가 5년이 넘으신분 많죠?
2
그런분은 이 환급금 꼭 확인해보세요
많은 분들이 환급금겁돌려받고 있다는데요.2아직도 몰라서 돌려받지 못하고 있는 환급금이 엄청 많다고 합니다.
많은 분들이 환급금
겁
돌려받고 있다는데요.
2
아직도 몰라서 돌려받지 못하고 있는 환급금이 엄청 많다고 합니다.
아래글 보시고 본인에게도겁환급금이 있는지2일단 조회해보시고 환급신청까지 꼭 해보세요. 저는 신청했네요~
아래글 보시고 본인에게도
겁
환급금이 있는지
2
일단 조회해보시고 환급신청까지 꼭 해보세요. 저는 신청했네요~
5년 넘은 자동차 채권 환급금 돌려받으세요 – 생활에 도움되는 지식포럼5년 넘은 자동차 채권 환급금 돌려받으세요 7월 3, 2023 5년 넘은 자동차 채권 환급금 조회 5년이상 자동차 운행하셨다면 자동차 채권 환급금 조회 후 환급 신청 꼭 하세요! 자동차를 소유하게 되면 취등록세나 자동차세, 자동차 보험은 아주 잘 알고 계시지만 차량 환급금에 대해서는 잘 모르는 분들이 상당히 많습니다. 그래서 자동차를 10년 넘게 운행을 하셔도 모르는 분들이 많다보니 돌려받지 못하고 있는 자동차 환급금이 굉장히 많이 쌓여있다고 합니다. 자동차를 구입한지 5년 이상이 되었다면 자동차 채권 환급금을 돌려받을 수 있습니다...m.site.naver.com
5년 넘은 자동차 채권 환급금 돌려받으세요 – 생활에 도움되는 지식포럼5년 넘은 자동차 채권 환급금 돌려받으세요 7월 3, 2023 5년 넘은 자동차 채권 환급금 조회 5년이상 자동차 운행하셨다면 자동차 채권 환급금 조회 후 환급 신청 꼭 하세요! 자동차를 소유하게 되면 취등록세나 자동차세, 자동차 보험은 아주 잘 알고 계시지만 차량 환급금에 대해서는 잘 모르는 분들이 상당히 많습니다. 그래서 자동차를 10년 넘게 운행을 하셔도 모르는 분들이 많다보니 돌려받지 못하고 있는 자동차 환급금이 굉장히 많이 쌓여있다고 합니다. 자동차를 구입한지 5년 이상이 되었다면 자동차 채권 환급금을 돌려받을 수 있습니다...m.site.naver.com
5년 넘은 자동차 채권 환급금 돌려받으세요 – 생활에 도움되는 지식포럼5년 넘은 자동차 채권 환급금 돌려받으세요 7월 3, 2023 5년 넘은 자동차 채권 환급금 조회 5년이상 자동차 운행하셨다면 자동차 채권 환급금 조회 후 환급 신청 꼭 하세요! 자동차를 소유하게 되면 취등록세나 자동차세, 자동차 보험은 아주 잘 알고 계시지만 차량 환급금에 대해서는 잘 모르는 분들이 상당히 많습니다. 그래서 자동차를 10년 넘게 운행을 하셔도 모르는 분들이 많다보니 돌려받지 못하고 있는 자동차 환급금이 굉장히 많이 쌓여있다고 합니다. 자동차를 구입한지 5년 이상이 되었다면 자동차 채권 환급금을 돌려받을 수 있습니다...m.site.naver.com
5년 넘은 자동차 채권 환급금 돌려받으세요 – 생활에 도움되는 지식포럼5년 넘은 자동차 채권 환급금 돌려받으세요 7월 3, 2023 5년 넘은 자동차 채권 환급금 조회 5년이상 자동차 운행하셨다면 자동차 채권 환급금 조회 후 환급 신청 꼭 하세요! 자동차를 소유하게 되면 취등록세나 자동차세, 자동차 보험은 아주 잘 알고 계시지만 차량 환급금에 대해서는 잘 모르는 분들이 상당히 많습니다. 그래서 자동차를 10년 넘게 운행을 하셔도 모르는 분들이 많다보니 돌려받지 못하고 있는 자동차 환급금이 굉장히 많이 쌓여있다고 합니다. 자동차를 구입한지 5년 이상이 되었다면 자동차 채권 환급금을 돌려받을 수 있습니다...m.site.naver.com
5년 넘은 자동차 채권 환급금 돌려받으세요 – 생활에 도움되는 지식포럼5년 넘은 자동차 채권 환급금 돌려받으세요 7월 3, 2023 5년 넘은 자동차 채권 환급금 조회 5년이상 자동차 운행하셨다면 자동차 채권 환급금 조회 후 환급 신청 꼭 하세요! 자동차를 소유하게 되면 취등록세나 자동차세, 자동차 보험은 아주 잘 알고 계시지만 차량 환급금에 대해서는 잘 모르는 분들이 상당히 많습니다. 그래서 자동차를 10년 넘게 운행을 하셔도 모르는 분들이 많다보니 돌려받지 못하고 있는 자동차 환급금이 굉장히 많이 쌓여있다고 합니다. 자동차를 구입한지 5년 이상이 되었다면 자동차 채권 환급금을 돌려받을 수 있습니다...m.site.naver.com
5년 넘은 자동차 채권 환급금 돌려받으세요 7월 3, 2023 5년 넘은 자동차 채권 환급금 조회 5년이상 자동차 운행하셨다면 자동차 채권 환급금 조회 후 환급 신청 꼭 하세요! 자동차를 소유하게 되면 취등록세나 자동차세, 자동차 보험은 아주 잘 알고 계시지만 차량 환급금에 대해서는 잘 모르는 분들이 상당히 많습니다. 그래서 자동차를 10년 넘게 운행을 하셔도 모르는 분들이 많다보니 돌려받지 못하고 있는 자동차 환급금이 굉장히 많이 쌓여있다고 합니다. 자동차를 구입한지 5년 이상이 되었다면 자동차 채권 환급금을 돌려받을 수 있습니다...
m.site.naver.com





",[],[],[],[]
파킹통장 추천,5450672,2025.04.09. 22:08,bhfIPabbCevZDagbwR2RuA,밍밍옹,"ok저축은행 짠테크통장은 이미 하고있고애큐온케이뱅크카카오페이증권셋 중에 두 곳에 더 파킹하려는데 어디가 더 좋을까요?이 외에 다른 좋은 곳 있으면 추천해주세요 ~
ok저축은행 짠테크통장은 이미 하고있고애큐온케이뱅크카카오페이증권셋 중에 두 곳에 더 파킹하려는데 어디가 더 좋을까요?이 외에 다른 좋은 곳 있으면 추천해주세요 ~
ok저축은행 짠테크통장은 이미 하고있고애큐온케이뱅크카카오페이증권셋 중에 두 곳에 더 파킹하려는데 어디가 더 좋을까요?이 외에 다른 좋은 곳 있으면 추천해주세요 ~
ok저축은행 짠테크통장은 이미 하고있고애큐온케이뱅크카카오페이증권셋 중에 두 곳에 더 파킹하려는데 어디가 더 좋을까요?이 외에 다른 좋은 곳 있으면 추천해주세요 ~
ok저축은행 짠테크통장은 이미 하고있고
ok저축은행 짠테크통장은 이미 하고있고


애큐온
애큐온
케이뱅크
케이뱅크
카카오페이증권
카카오페이증권
셋 중에 두 곳에 더 파킹하려는데 어디가 더 좋을까요?
셋 중에 두 곳에 더 파킹하려는데 어디가 더 좋을까요?
이 외에 다른 좋은 곳 있으면 추천해주세요 ~
이 외에 다른 좋은 곳 있으면 추천해주세요 ~",[],[],[],[]
카드 해지기간,5450583,2025.04.09. 21:04,AdWiu-hOr2so5LUSEV_GcQ,월정사잔나비,"카드테크 시작했어요.카드마다 6개월12개월 써있는데해지는 혜택(캐쉬백.돈들어온날)받은날부터 6개월,12개월이 맞나요.12개월 이내 해지하면 안된다는조항이 있어서 하루라도 늦으면연회비결재가 되는건지날짜 계산정확히 알고 알람해두고싶은데 정확히.몰라서요.
카드테크 시작했어요.카드마다 6개월12개월 써있는데해지는 혜택(캐쉬백.돈들어온날)받은날부터 6개월,12개월이 맞나요.12개월 이내 해지하면 안된다는조항이 있어서 하루라도 늦으면연회비결재가 되는건지날짜 계산정확히 알고 알람해두고싶은데 정확히.몰라서요.
카드테크 시작했어요.카드마다 6개월12개월 써있는데해지는 혜택(캐쉬백.돈들어온날)받은날부터 6개월,12개월이 맞나요.12개월 이내 해지하면 안된다는조항이 있어서 하루라도 늦으면연회비결재가 되는건지날짜 계산정확히 알고 알람해두고싶은데 정확히.몰라서요.
카드테크 시작했어요.카드마다 6개월12개월 써있는데해지는 혜택(캐쉬백.돈들어온날)받은날부터 6개월,12개월이 맞나요.12개월 이내 해지하면 안된다는조항이 있어서 하루라도 늦으면연회비결재가 되는건지날짜 계산정확히 알고 알람해두고싶은데 정확히.몰라서요.
카드테크 시작했어요.
카드테크 시작했어요.
카드마다 6개월
카드마다 6개월
12개월 써있는데
12개월 써있는데
해지는 혜택(캐쉬백.돈들어온날)받은날
해지는 혜택(캐쉬백.돈들어온날)받은날
부터 6개월,12개월이 맞나요.
부터 6개월,12개월이 맞나요.


12개월 이내 해지하면 안된다는
12개월 이내 해지하면 안된다는
조항이 있어서 하루라도 늦으면
조항이 있어서 하루라도 늦으면
연회비결재가 되는건지
연회비결재가 되는건지
날짜 계산정확히 알고 알람해두고
날짜 계산정확히 알고 알람해두고
싶은데 정확히.몰라서요.
싶은데 정확히.몰라서요.",[],[],[],[]
조언 부탁드려요!,5450259,2025.04.09. 16:23,_Qb5uwFT2qxOXnayFlaF9g,할 수 있당,"예금 이율 높은 거 든다하면 몇 퍼센트가 적당할까요?
예금 이율 높은 거 든다하면 몇 퍼센트가 적당할까요?
예금 이율 높은 거 든다하면 몇 퍼센트가 적당할까요?
예금 이율 높은 거 든다하면 몇 퍼센트가 적당할까요?
예금 이율 높은 거 든다하면 몇 퍼센트가 적당할까요?
예금 이율 높은 거 든다하면 몇 퍼센트가 적당할까요?",[],[],[],[]
퇴직연금이 irp계좌로 들어왔는데요,5450184,2025.04.09. 15:41,Zs0_bducc9DGSgejWev76A,아무리생강해도넌마늘,"그걸로 주식을 살랬더니 왜 매수주문이 안될까요?퇴직연금 들어온거 에서 보유종목 살랬더니 못사게 되어있음 투자위험한도 70%100%이런거나오고요
그걸로 주식을 살랬더니 왜 매수주문이 안될까요?퇴직연금 들어온거 에서 보유종목 살랬더니 못사게 되어있음 투자위험한도 70%100%이런거나오고요
그걸로 주식을 살랬더니 왜 매수주문이 안될까요?퇴직연금 들어온거 에서 보유종목 살랬더니 못사게 되어있음 투자위험한도 70%100%이런거나오고요
그걸로 주식을 살랬더니 왜 매수주문이 안될까요?퇴직연금 들어온거 에서 보유종목 살랬더니 못사게 되어있음 투자위험한도 70%100%이런거나오고요
그걸로 주식을 살랬더니 왜 매수주문이 안될까요?
그걸로 주식을 살랬더니 왜 매수주문이 안될까요?
퇴직연금 들어온거 에서 보유종목 살랬더니 못사게 되어있음 투자위험한도 70%100%이런거나오고요
퇴직연금 들어온거 에서 보유종목 살랬더니 못사게 되어있음 투자위험한도 70%100%이런거나오고요",['z8jrj9WY69cvYM-PVGCW_w'],['아무리생강해도넌마늘'],['irp에서 안전자산을 먼저 매수 후에 시도해보세요'],['2025.04.09. 16:17']
